id,name,description,category,price,rating,tags,inStock,brand,color,size
1,Wireless Bluetooth Headphones,High-quality wireless headphones with noise cancellation,Electronics,199.99,4.5,"wireless,audio,premium",true,Sony,Black,One Size
2,Gaming Mechanical Keyboard,RGB backlit mechanical keyboard for gaming,Electronics,149.99,4.3,"gaming,keyboard,mechanical",true,Corsair,Black,Full Size
3,Organic Cotton T-Shirt,100% organic cotton comfortable t-shirt,Clothing,29.99,4.2,"organic,cotton,comfortable",true,Everlane,White,M
4,Stainless Steel Water Bottle,Insulated stainless steel water bottle,Home & Garden,24.99,4.4,"stainless,steel,insulated",true,Hydro Flask,Silver,32oz
5,Wireless Charging Pad,Fast wireless charging pad for smartphones,Electronics,39.99,4.1,"wireless,charging,fast",true,Anker,Black,Standard
6,Leather Laptop Bag,Professional leather laptop bag,Accessories,89.99,4.6,"leather,professional,laptop",true,Fossil,Brown,15 inch
7,Bluetooth Speaker,Portable Bluetooth speaker with great sound,Electronics,79.99,4.0,"bluetooth,speaker,portable",true,JBL,Blue,Compact
8,Yoga Mat,Non-slip yoga mat for exercise,Sports,34.99,4.3,"yoga,exercise,non-slip",true,Lululemon,Purple,Standard
9,Coffee Maker,Programmable coffee maker with timer,Home & Garden,129.99,4.4,"coffee,programmable,timer",true,Mr. Coffee,Black,12 Cup
10,Smart Watch,Fitness tracking smart watch with GPS,Electronics,299.99,4.7,"smart,watch,fitness,gps",true,Apple,Space Gray,42mm